table_field,nonnull_count,schema,table,field
AssocDataPhotos.GlobalID,0,dbo,AssocDataPhotos,GlobalID
AssociatedData.LocationId,0,dbo,AssociatedData,LocationId
AssociatedData.PointID,0,dbo,AssociatedData,PointID
AssociatedData.AssocID,0,dbo,AssociatedData,AssocID
AssociatedData.Notes,0,dbo,AssociatedData,Notes
AssociatedData.Formation,0,dbo,AssociatedData,Formation
AssociatedData.OBJECTID,0,dbo,AssociatedData,OBJECTID
BCWLs2019.ID,0,dbo,BCWLs2019,ID
BCWLs2019.MeasureMethod,0,dbo,BCWLs2019,MeasureMethod
BCWLs2019.Well IDKey,0,dbo,BCWLs2019,Well IDKey
BCWLs2019.Well Name,0,dbo,BCWLs2019,Well Name
BCWLs2019.Status,0,dbo,BCWLs2019,Status
BCWLs2019.MeasureDate,0,dbo,BCWLs2019,MeasureDate
BCWLs2019.BTW_bgs,0,dbo,BCWLs2019,BTW_bgs
BCWLs2019.PointID,0,dbo,BCWLs2019,PointID
BCWLs2019.Source,0,dbo,BCWLs2019,Source
BCWLs2019.Agency,0,dbo,BCWLs2019,Agency
BCWLs2019.Notes,0,dbo,BCWLs2019,Notes
BCWLs2019.PR,0,dbo,BCWLs2019,PR
BCWLs2019.MPhgt,0,dbo,BCWLs2019,MPhgt
Chemistry SampleInfo.SamplePtID,11442,dbo,Chemistry SampleInfo,SamplePtID
Chemistry SampleInfo.WCLab_ID,1292,dbo,Chemistry SampleInfo,WCLab_ID
Chemistry SampleInfo.SamplePointID,11442,dbo,Chemistry SampleInfo,SamplePointID
Chemistry SampleInfo.AnalysesAgency,5277,dbo,Chemistry SampleInfo,AnalysesAgency
Chemistry SampleInfo.StudySample,3029,dbo,Chemistry SampleInfo,StudySample
Chemistry SampleInfo.DataQuality,11442,dbo,Chemistry SampleInfo,DataQuality
Chemistry SampleInfo.SampleType,11420,dbo,Chemistry SampleInfo,SampleType
Chemistry SampleInfo.CollectionDate,11435,dbo,Chemistry SampleInfo,CollectionDate
Chemistry SampleInfo.CollectionMethod,9985,dbo,Chemistry SampleInfo,CollectionMethod
