model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|9887|9324|5.694346111054921
AR-0145|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0146|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0147|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0149|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0150|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0152|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0153|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0154|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0155|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0157|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
AR-0158|WellData|UnknownField|Validation Error: [{'type': 'float_type', 'loc': ('measuring_point_height',), 'msg': 'Input should be a valid number', 'input': None, 'url': 'https://errors.pydantic.dev/2.11/v/float_type'}]
